,Unnamed: 0,Time,U_mpers,Time.1,V_mpers,date
0,0,0,5.8349833,0,-2.9615302000000003,2006-07-22
1,1,1,6.1446857,1,-2.9184911,2006-07-22
2,2,2,4.8745985,2,-3.1285396,2006-07-22
3,3,3,4.7889385,3,-2.5412822,2006-07-22
4,4,4,4.5260057,4,-2.7263236,2006-07-22
5,5,5,4.794487,5,-2.3700142000000004,2006-07-22
6,6,6,4.2472143,6,-2.1695828,2006-07-22
7,7,7,4.416316,7,-2.3779156,2006-07-22
8,8,8,4.562253,8,-2.312388,2006-07-22
9,9,9,4.726515,9,-2.4462428,2006-07-22
10,10,10,4.5741577000000015,10,-2.1652403,2006-07-22
11,11,11,4.7151713,11,-1.9754007,2006-07-22
12,12,12,4.0766019999999985,12,-2.0733428,2006-07-22
13,13,13,4.590422599999999,13,-2.1839695,2006-07-22
14,14,14,4.047858,14,-2.306172,2006-07-22
15,15,15,3.264705,15,-2.738419,2006-07-22
16,16,16,3.2554188,16,-2.1572149,2006-07-22
17,17,17,2.9977014,17,-2.3900125,2006-07-22
18,18,18,2.8380213,18,-2.157777,2006-07-22
19,19,19,2.1487741,19,-1.9653237,2006-07-22
20,20,20,1.8925767,20,-2.524976,2006-07-22
21,21,21,2.529764,21,-2.3937597000000004,2006-07-22
22,22,22,1.2887788,22,-1.8311388,2006-07-22
23,23,23,1.6810644,23,-2.5949502,2006-07-22
0,0,0,1.0390294,0,11.688068,2006-02-15
1,1,1,0.5577339,1,14.548418,2006-02-15
2,2,2,-0.3902371,2,13.149388,2006-02-15
3,3,3,-1.3947659,3,14.453438,2006-02-15
4,4,4,-1.9744673,4,15.660085999999998,2006-02-15
5,5,5,-1.33021,5,16.605846,2006-02-15
6,6,6,-1.1361841,6,18.130219,2006-02-15
7,7,7,-2.886046,7,17.581638,2006-02-15
8,8,8,-3.6718526,8,16.366035,2006-02-15
9,9,9,-3.0596118,9,17.26429,2006-02-15
10,10,10,-2.277275,10,17.098910999999998,2006-02-15
11,11,11,-2.6779547000000004,11,17.480625,2006-02-15
12,12,12,-2.2474294,12,18.49459,2006-02-15
13,13,13,-2.837969,13,18.59739,2006-02-15
14,14,14,-1.2496094,14,16.694347,2006-02-15
15,15,15,-1.2709733,15,15.361876,2006-02-15
16,16,16,-1.3276603,16,12.778382,2006-02-15
17,17,17,0.90764844,17,10.224245,2006-02-15
18,18,18,2.3571095,18,8.763855,2006-02-15
19,19,19,6.1633005,19,6.0832586,2006-02-15
20,20,20,9.972591,20,4.271061,2006-02-15
21,21,21,8.557781,21,3.9560585,2006-02-15
22,22,22,7.1449637,22,4.227562,2006-02-15
23,23,23,6.3819456,23,5.494235,2006-02-15
0,0,0,2.369545,0,-10.352853,2006-02-03
1,1,1,0.97385156,1,-9.895571,2006-02-03
2,2,2,-0.02356787,2,-9.511328,2006-02-03
3,3,3,-0.449976,3,-8.944711999999997,2006-02-03
4,4,4,-0.22526807,4,-8.080372,2006-02-03
5,5,5,0.27682924,5,-7.517913,2006-02-03
6,6,6,0.38891923,6,-6.992623299999999,2006-02-03
7,7,7,0.54027617,7,-6.3638935,2006-02-03
8,8,8,0.74345005,8,-5.4684324,2006-02-03
9,9,9,0.54392684,9,-5.030386,2006-02-03
10,10,10,-0.06776357400000001,10,-4.1424274,2006-02-03
11,11,11,-0.80518067,11,-4.3888135,2006-02-03
12,12,12,-0.36851186,12,-5.813606299999999,2006-02-03
13,13,13,0.2144454,13,-6.247415,2006-02-03
14,14,14,0.46192718,14,-6.951661,2006-02-03
15,15,15,1.1722278999999998,15,-7.0766163,2006-02-03
16,16,16,1.574296,16,-8.043541000000001,2006-02-03
17,17,17,0.41149962,17,-7.9691353,2006-02-03
18,18,18,1.7821985,18,-7.762691499999999,2006-02-03
19,19,19,-0.23792863,19,-8.858061,2006-02-03
20,20,20,1.7803252,20,-11.2920475,2006-02-03
21,21,21,3.5022805,21,-9.904385,2006-02-03
22,22,22,0.82129115,22,-12.028033,2006-02-03
23,23,23,1.5693928999999998,23,-10.417103,2006-02-03
