,Unnamed: 0,Time,U_mpers,Time.1,V_mpers,date
0,0,0,-9.894709,0,13.949656,2006-05-04
1,1,1,-8.2259445,1,13.178426000000002,2006-05-04
2,2,2,-8.123522,2,12.231185,2006-05-04
3,3,3,-7.704299400000001,3,12.981179,2006-05-04
4,4,4,-7.1425686,4,12.205158,2006-05-04
5,5,5,-7.4205856,5,11.374091,2006-05-04
6,6,6,-8.36592,6,11.377563,2006-05-04
7,7,7,-8.796586,7,11.359587,2006-05-04
8,8,8,-9.632458,8,10.729074,2006-05-04
9,9,9,-10.006481,9,9.659613,2006-05-04
10,10,10,-10.420271,10,9.671207,2006-05-04
11,11,11,-11.384444,11,8.948853999999997,2006-05-04
12,12,12,-12.613162,12,8.668811999999999,2006-05-04
13,13,13,-12.932405,13,8.741653,2006-05-04
14,14,14,-13.347416,14,8.764853,2006-05-04
15,15,15,-14.225011,15,8.503725,2006-05-04
16,16,16,-14.590569,16,8.181236,2006-05-04
17,17,17,-15.060482,17,8.600513000000001,2006-05-04
18,18,18,-15.716878,18,9.455131,2006-05-04
19,19,19,-16.315079,19,9.437117,2006-05-04
20,20,20,-16.354969,20,9.623991,2006-05-04
21,21,21,-15.675020000000002,21,10.0052395,2006-05-04
22,22,22,-14.88269,22,9.819828,2006-05-04
23,23,23,-14.525676999999998,23,9.779915,2006-05-04
0,0,0,3.9462552,0,-1.6832957,2006-05-12
1,1,1,4.073167,1,-1.4740064,2006-05-12
2,2,2,4.155855,2,-1.4175673999999998,2006-05-12
3,3,3,3.9994464,3,-1.1906726,2006-05-12
4,4,4,4.3578053,4,-2.1226828,2006-05-12
5,5,5,4.158425299999998,5,-2.2943177,2006-05-12
6,6,6,3.9199934,6,-2.445221,2006-05-12
7,7,7,3.3567367,7,-1.7980218,2006-05-12
8,8,8,3.3498094,8,-1.8613884,2006-05-12
9,9,9,3.29186,9,-2.8832326,2006-05-12
10,10,10,2.6085432,10,-2.6408792,2006-05-12
11,11,11,2.3904705,11,-2.8047075,2006-05-12
12,12,12,1.6466122,12,-1.9027185,2006-05-12
13,13,13,1.6082691,13,-0.91120505,2006-05-12
14,14,14,2.2536993,14,-0.32787097,2006-05-12
15,15,15,3.0755124,15,-0.6304626999999999,2006-05-12
16,16,16,3.2986083,16,-0.5115900999999999,2006-05-12
17,17,17,3.924599,17,-0.3235044,2006-05-12
18,18,18,4.7035275,18,-1.3905523000000002,2006-05-12
19,19,19,5.215914700000001,19,-2.2167063,2006-05-12
20,20,20,4.512932,20,-2.1489947,2006-05-12
21,21,21,4.847137,21,-2.2093434,2006-05-12
22,22,22,4.92927,22,-2.3639414,2006-05-12
23,23,23,2.6175842,23,-2.194682,2006-05-12
0,0,0,13.91275,0,-8.386975999999999,2006-11-05
1,1,1,14.436591,1,-8.967031500000003,2006-11-05
2,2,2,14.38933,2,-9.486614,2006-11-05
3,3,3,14.766342000000002,3,-10.214224,2006-11-05
4,4,4,14.766146,4,-10.561504,2006-11-05
5,5,5,13.952126000000002,5,-10.339821,2006-11-05
6,6,6,13.088854,6,-9.953514,2006-11-05
7,7,7,12.348151,7,-9.306991,2006-11-05
8,8,8,12.598606,8,-8.909469999999997,2006-11-05
9,9,9,13.287518,9,-10.516485,2006-11-05
10,10,10,14.3695,10,-10.162231,2006-11-05
11,11,11,12.768922,11,-8.862972000000003,2006-11-05
12,12,12,13.637102,12,-9.728674,2006-11-05
13,13,13,12.719931,13,-10.181652,2006-11-05
14,14,14,12.694679,14,-8.643587,2006-11-05
15,15,15,13.281662,15,-8.156395,2006-11-05
16,16,16,13.511213,16,-8.038387,2006-11-05
17,17,17,13.614569,17,-8.037778999999999,2006-11-05
18,18,18,13.833666,18,-7.652984599999999,2006-11-05
19,19,19,13.710059,19,-7.6844234,2006-11-05
20,20,20,13.126632999999998,20,-7.926114,2006-11-05
21,21,21,13.995443,21,-6.9295982999999985,2006-11-05
22,22,22,14.375471,22,-6.756945599999999,2006-11-05
23,23,23,14.798846,23,-6.7588058,2006-11-05
0,0,0,9.066532,0,-0.4592652,2006-11-13
1,1,1,8.035778,1,2.7762918,2006-11-13
2,2,2,9.642583,2,5.109133,2006-11-13
3,3,3,7.5396833,3,9.5339985,2006-11-13
4,4,4,14.197925,4,6.517585,2006-11-13
5,5,5,10.7819805,5,9.007029,2006-11-13
6,6,6,12.006857,6,9.223934,2006-11-13
7,7,7,13.095684,7,9.604641,2006-11-13
8,8,8,16.472008,8,6.496153,2006-11-13
9,9,9,16.054972,9,-0.7948377,2006-11-13
10,10,10,16.037070999999994,10,-1.0970086,2006-11-13
11,11,11,14.855752,11,-2.1051059,2006-11-13
12,12,12,15.258814,12,-4.5670404000000016,2006-11-13
