,Time,U_mpers,V_mpers,date,ws_mpers_CTRL,ws_dir_degree_CTRL,dirn_CTRL,scenario
7536,0,-7.528736,-0.853806,2006-01-01,7.5769948161082965,276.4700590276685,East,CTRL
7537,1,-7.3310027,-0.7076193000000001,2006-01-01,7.3650747220337,275.51335013606166,East,CTRL
7538,2,-7.936472,-0.08484734,2006-01-01,7.9369255305747375,270.61251514388687,East,CTRL
7539,3,-8.542671,-0.03289463,2006-01-01,8.542734332221963,270.220623520746,East,CTRL
7540,4,-7.905908599999999,0.4648761,2006-01-01,7.919564418571589,266.6348201776543,East,CTRL
7541,5,-6.80652,0.13245648,2006-01-01,6.807808695130467,268.88515137262436,East,CTRL
7542,6,-6.9917583,0.3561188,2006-01-01,7.000821717865149,267.0842117067108,East,CTRL
7543,7,-6.950746499999998,0.11877841,2006-01-01,6.951761303291732,269.0209915928414,East,CTRL
7544,8,-6.555989299999999,-0.19913697,2006-01-01,6.559012977158626,271.7398138355236,East,CTRL
7545,9,-5.712899,-0.75558484,2006-01-01,5.7626489945717525,277.53418025351914,East,CTRL
7546,10,-5.003271,-1.501864,2006-01-01,5.223821989112665,286.70851753042564,East,CTRL
7547,11,-5.264367,-1.944376,2006-01-01,5.611965603963107,290.27153713372763,East,CTRL
7548,12,-4.690559,-1.5913882,2006-01-01,4.953166677548843,288.74077673522953,East,CTRL
7549,13,-4.5811872000000005,-3.2804322,2006-01-01,5.634581757348161,305.6051617686698,North_East,CTRL
7550,14,-3.3870764,-5.3026075,2006-01-01,6.292053149687566,327.4313191229024,North_East,CTRL
7551,15,-3.3916879,-5.790341400000001,2006-01-01,6.710558869390863,329.64039467842633,North_East,CTRL
7552,16,-3.803039,-4.6771910000000005,2006-01-01,6.028202160346151,320.88532922268985,North_East,CTRL
7553,17,-6.003472299999999,-4.3756833,2006-01-01,7.428881746182676,306.0867639235581,North_East,CTRL
7554,18,-3.9988885,-4.5719247,2006-01-01,6.074010594154602,318.82504715458435,North_East,CTRL
7555,19,-3.9177582,-6.391958,2006-01-01,7.497063184169601,328.4950391854906,North_East,CTRL
7556,20,-3.5179105,-4.9904804,2006-01-01,6.105783234671406,324.8190638434137,North_East,CTRL
7557,21,-3.1180234,-4.8003945,2006-01-01,5.724146860325809,326.9948728642229,North_East,CTRL
